date,start_time,end_time,region,description
1404/05/16,15:00,17:00,بابرنامه,81-  از شهر مرزیکلا تا بالا گنج افروز، سیادرکا،  پیتکا، رئیس کلا، درونکلای( شرقی و غربی) گاوزن محله و شاه رضا، مرزناک، بزچفت، شهرک صنعتی درونکلا، داردکاشت،  قسمتی از هلیدشت و انارستان
1404/05/16,15:00,17:00,بابرنامه,خیابان ام آر ای - شهرک پردیس - شهرک دانش کوچه دانش 1  تا دانش 15-کل روستاي اغوزبن به جزء کوچه هاي امام رضا -  و روستاي بندرکلا -
1404/05/16,15:00,17:00,بابرنامه,56-  ازبار فروش 9قبل میدان مادر تا  پل موزیرج جاده ساحلی، مجتمع بنیاد مسکن، از ترمینال غرب تا بسیج مالک اشتر، شرکت آب بند، برسمنان و کمانگر و کتی سر
1404/05/16,15:00,17:00,بابرنامه,39- چهار راه شهربانی تا میدان اوقاف، میدان اوقاف تا دانشگاه نوشیروانی ( معلم 1 تا 7 و 4 تا 10 ) از باغ فردوس تا بیمارستان بابل کلینیک و محله نوعلم
1404/05/16,15:00,17:00,بابرنامه,34-  میدان فاضل تا میدان هادی نوروزی بلوار یاسینی کشاورزی بسمت طلائیه - جاده قائم شهراز میدان هادی نوروزی ضلع شمالی تا مازیار صنعت ،کبودکلا و سیدآباد ، دریکنده،چمازکلا شمالی، گرجی آباد شمالی ، کوچه خجسته، شهرک مهر ولایت،
1404/05/16,15:00,17:00,بابرنامه,82- از شهر مرزیکلا تا باغ پهلوان گنج افروز، درونکلای شرقی، فولاد کلا،  هلیدشت،  طلوت، پایین گنج افروز( خشک دشت، اسبوکلا، کمانگر کلا، دومیرکلا،  معلم کلا، کلاگر محله، سادات محله) و جنب پل چاری
1404/05/16,15:00,17:00,بابرنامه,روستاهاي گله کلا  -شمشيرمحله - مشهدي کلا - باريکلا - بوله کلا - ميانرود- درويش خيل - راه کلا و ني کلا و منطقه شهري حاجي کلاي رودبار و اميرکبير
1404/05/16,15:00,17:00,بابرنامه,84-فیضیه 14-از انتهای طالقانی 5تا  کوچه گرمابه خزر تا سه راه حیدرکلا - واز سه راه حیدر کلا بسمت کوچه شهید فیروزجایی - حیدر 7تا 17 و 10تا 26
1404/05/16,15:00,17:00,بابرنامه,67- کرکنار، یزدان آباد، شانه تراش ، شاه سیب کلا، عالی زمین،  معلم کلا و قسمتی از قمی کلا، شوبکلا
1404/05/16,15:00,17:00,بابرنامه,68- شهر خشرودپی تا کارخانه آسفالت، مقریکلا، پنبه جار، تسکا، کاردیکلای غربی، کامی کلا، پلنگ دره، شهنه پشته، فریدون کلا تا انجیلک، بورا، ولیک، افراسیاب کلا، پازمین، لمسوکلا، موزکتی، مچکتی، پولادسی، ازارسی
